,도소매업생산지수,음식숙박업생산지수,금융보험생산지수,부동산및임대업생산지수,운수보관생산지수,정보통신업,보건및사회복지업생산지수,사업서비스업생산지수,수신,여신,실업률,여수신,광공업생산지수,건설업생산지수,KOSPI,interest,gdpRate,CPI,export,import,label
2009-09-30,0.03767123287671237,-0.0008183306055646877,0.09461966604823746,0.11795137092602159,-0.004214963119072768,0.025940337224383825,0.11677282377919318,-0.0158924205378973,0.08935354564141562,0.06441525002337412,0.09999999999999987,0.2726814861736484,0.121,0.10300000000000001,0.14447733923420358,0.0582,0.03,0.022,-0.094,-0.247,2.0
2009-10-31,0.020385050962627327,-0.02694136291600635,0.04112149532710285,0.29829242262540023,-0.02777777777777779,0.011873350923482962,0.1217948717948718,-0.004901960784313597,0.051202406394740274,0.04924418816048104,0.06666666666666665,0.06432518917014751,0.011000000000000001,-0.033,0.3507483916633696,0.0588,0.006999999999999999,0.02,-0.085,-0.158,2.0
2009-11-30,0.053380782918149405,-0.01904761904761909,0.049429657794676896,0.34716599190283404,0.026373626373626502,0.011612903225806548,0.12579957356076754,-0.012468827930174564,0.043788773937377456,0.04740564510275136,0.09999999999999987,0.019740768302637823,0.18600000000000003,0.05,0.36854584213349106,0.0587,0.006999999999999999,0.024,0.179,0.024,1.0
2009-12-31,0.0904925544100803,0.0359915314043755,0.07575757575757569,0.3841856467554794,0.04661487236404005,0.023554603854389677,0.14822546972860118,0.010935601458080368,0.03940572282495025,0.03968454823472123,0.06060606060606055,0.037486452488389777,0.34700000000000003,0.126,0.4031294692678262,0.0581,0.006999999999999999,0.0279999999999999,0.3279999999999999,0.239,1.0
2010-01-31,0.04933814681107118,0.026169706582077845,0.09505703422053235,0.08843830888697157,0.12454655380894786,-0.03899721448467963,0.11704312114989723,0.02119205298013238,0.06054390900391593,0.0370063441059012,0.38888888888888884,0.23992558139534892,0.386,0.042,0.3212839549137039,0.05940000000000001,0.02,0.035,0.454,0.267,1.0
2010-02-28,0.0805626598465472,-0.02079866888519133,0.018903591682419618,0.16518066635382467,0.13503184713375793,0.025316455696202667,0.11088295687885008,0.04845222072678346,0.056914289086597014,0.03394185768175384,0.23076923076923084,0.2116945159460757,0.19100000000000003,-0.019,0.40548700258353065,0.0584,0.02,0.03,0.301,0.374,1.0
2010-03-31,0.07584597432905493,0.007137192704202988,0.08468468468468471,0.5031289111389234,0.16203703703703698,0.03856041131105403,0.08074534161490687,0.051181102362204633,0.055964141201215734,0.030064927429171773,0.02499999999999991,0.2549648783567817,0.228,0.066,0.3388888127978493,0.056900000000000006,0.02,0.025,0.3379999999999999,0.487,1.0
2010-04-30,0.06815511163337273,0.016600790513833896,0.00865051903114189,0.2547332185886402,0.15322580645161277,-0.025906735751295318,0.09090909090909083,0.05242463958060295,0.0431086974719177,0.02897771022247242,-0.02631578947368407,0.15143796581876523,0.20199999999999999,-0.057999999999999996,0.2404378302245549,0.054900000000000004,0.019,0.026,0.296,0.428,1.0
2010-05-31,0.06343713956170705,0.02444614209320073,0.04929577464788748,0.035583464154892885,0.13585746102449892,0.006476683937823857,0.1174089068825912,0.07096774193548394,0.051290705985328255,0.03205256981272653,-0.1578947368421052,0.19369216398742384,0.2,0.005,0.1619259314669277,0.054000000000000006,0.019,0.027,0.3979999999999999,0.489,1.0
2010-06-30,0.047673098751418896,-0.0015748031496063408,0.046428571428571486,-0.2269807280513919,0.14092446448703488,0.021170610211706187,0.12228796844181455,0.0928753180661579,0.04258993591402627,0.029579461911160232,-0.07894736842105254,0.13254871273411029,0.159,-0.064,0.20026781852333997,0.053200000000000004,0.019,0.027,0.305,0.372,1.0
2010-07-31,0.0649651972157772,0.03585346843335935,0.021201413427561766,-0.2562969509500662,0.1423804226918799,0.01171875,0.10567514677103707,0.05486284289276799,0.04348039653437463,0.029663450013658332,0.0,0.14123033785623962,0.14300000000000002,-0.001,0.12198587356386703,0.053899999999999997,0.012,0.025,0.267,0.28,1.0
2010-08-31,0.05721096543504167,0.05577072037180497,0.01405975395430592,-0.28188833408987757,0.11551155115511547,0.025572005383580176,0.09248554913294815,0.05933250927070444,0.031099305987064785,0.023275790667848018,-0.10810810810810823,0.08427153165139867,0.14,-0.001,0.09056747884370697,0.055099999999999996,0.012,0.027,0.26,0.287,1.0
2010-09-30,0.024202420242024125,-0.019656019656019597,-0.008474576271186418,-0.3151318833873207,0.04550264550264549,-0.0025284450063209896,0.07984790874524705,0.09689440993788812,0.013314900956331366,0.025889491946456955,0.030303030303030276,-0.06399713681153385,0.018000000000000002,-0.17300000000000001,0.1127378987983434,0.0545,0.012,0.034,0.162,0.176,1.0
2010-10-31,0.045504994450610514,0.02687296416938101,0.07001795332136451,-0.41348129880805595,0.1068783068783068,0.015645371577575062,0.06666666666666665,0.09113300492610832,0.034835630868869094,0.03520187130401009,0.031249999999999778,0.03241608771355198,0.14400000000000002,-0.057999999999999996,0.174978246516865,0.053700000000000005,0.012,0.037,0.276,0.217,1.0
2010-11-30,0.06869369369369371,-0.003236245954692518,0.09420289855072461,-0.4740796393688955,0.07494646680942174,0.030612244897959107,0.0662878787878789,0.0959595959595958,0.03222285006041492,0.034411881665148636,-0.09090909090909083,0.01727346991986134,0.121,-0.078,0.202426458951126,0.0534,0.012,0.03,0.214,0.309,1.0
