"시점",원데이터,전년동월 대비 증감률
"1993.07",46.950,4.3
"1993.08",47.104,4.4
"1993.09",47.334,4.6
"1993.10",47.526,5.1
"1993.11",47.449,5.5
"1993.12",47.718,5.8
"1994.01",48.335,6.4
"1994.02",48.873,6.8
"1994.03",49.296,6.4
"1994.04",49.373,5.9
"1994.05",49.412,5.7
"1994.06",49.758,5.9
"1994.07",50.182,6.9
"1994.08",50.567,7.4
"1994.09",50.412,6.5
"1994.10",50.259,5.8
"1994.11",50.336,6.1
"1994.12",50.375,5.6
"1995.01",50.847,5.2
"1995.02",51.055,4.5
"1995.03",51.574,4.6
"1995.04",51.886,5.1
"1995.05",51.990,5.2
"1995.06",51.835,4.2
"1995.07",51.990,3.6
"1995.08",52.302,3.4
"1995.09",52.770,4.7
"1995.10",52.511,4.5
"1995.11",52.406,4.1
"1995.12",52.770,4.8
"1996.01",53.289,4.8
"1996.02",53.499,4.8
"1996.03",53.862,4.4
"1996.04",54.226,4.5
"1996.05",54.538,4.9
"1996.06",54.538,5.2
"1996.07",54.798,5.4
"1996.08",55.057,5.3
"1996.09",55.162,4.5
"1996.10",55.162,5.0
"1996.11",55.162,5.3
"1996.12",55.369,4.9
"1997.01",55.786,4.7
"1997.02",56.097,4.9
"1997.03",56.305,4.5
"1997.04",56.565,4.3
"1997.05",56.617,3.8
"1997.06",56.721,4.0
"1997.07",56.825,3.7
"1997.08",57.240,4.0
"1997.09",57.502,4.2
"1997.10",57.502,4.2
"1997.11",57.553,4.3
"1997.12",59.009,6.6
"1998.01",60.413,8.3
"1998.02",61.453,9.5
"1998.03",61.349,9.0
"1998.04",61.557,8.8
"1998.05",61.245,8.2
"1998.06",60.985,7.5
"1998.07",60.985,7.3
"1998.08",61.192,6.9
"1998.09",61.453,6.9
"1998.10",61.660,7.2
"1998.11",61.453,6.8
"1998.12",61.349,4.0
"1999.01",61.297,1.5
"1999.02",61.557,0.2
"1999.03",61.660,0.5
"1999.04",61.816,0.4
"1999.05",61.712,0.8
"1999.06",61.349,0.6
"1999.07",61.140,0.3
"1999.08",61.765,0.9
"1999.09",61.921,0.8
"1999.10",62.389,1.2
"1999.11",62.284,1.4
"1999.12",62.180,1.4
"2000.01",62.456,1.9
"2000.02",62.647,1.8
"2000.03",62.962,2.1
"2000.04",62.709,1.4
"2000.05",62.393,1.1
"2000.06",62.709,2.2
"2000.07",62.962,3.0
"2000.08",63.277,2.4
"2000.09",64.098,3.5
"2000.10",64.035,2.6
"2000.11",63.656,2.2
"2000.12",63.908,2.8
"2001.01",64.604,3.4
"2001.02",64.919,3.6
"2001.03",65.488,4.0
"2001.04",65.740,4.8
"2001.05",65.677,5.3
"2001.06",65.866,5.0
"2001.07",65.992,4.8
"2001.08",66.245,4.7
"2001.09",66.182,3.3
"2001.10",66.182,3.4
"2001.11",65.804,3.4
"2001.12",65.930,3.2
"2002.01",66.308,2.6
"2002.02",66.624,2.6
"2002.03",67.003,2.3
"2002.04",67.382,2.5
"2002.05",67.634,3.0
"2002.06",67.571,2.6
"2002.07",67.382,2.1
"2002.08",67.824,2.4
"2002.09",68.204,3.1
"2002.10",68.013,2.8
"2002.11",68.077,3.5
"2002.12",68.391,3.7
"2003.01",68.835,3.8
"2003.02",69.213,3.9
"2003.03",70.034,4.5
"2003.04",69.908,3.7
"2003.05",69.782,3.2
"2003.06",69.592,3.0
"2003.07",69.530,3.2
"2003.08",69.845,3.0
"2003.09",70.477,3.3
"2003.10",70.539,3.7
"2003.11",70.413,3.4
"2003.12",70.730,3.4
"2004.01",71.172,3.4
"2004.02",71.487,3.3
"2004.03",72.181,3.1
"2004.04",72.181,3.3
"2004.05",72.119,3.3
"2004.06",72.119,3.6
"2004.07",72.561,4.4
"2004.08",73.191,4.8
"2004.09",73.191,3.9
"2004.10",73.191,3.8
"2004.11",72.750,3.3
"2004.12",72.877,3.0
"2005.01",73.594,3.4
"2005.02",73.892,3.4
"2005.03",74.338,3.0
"2005.04",74.413,3.1
"2005.05",74.338,3.1
"2005.06",74.114,2.8
"2005.07",74.413,2.6
"2005.08",74.636,2.0
"2005.09",75.008,2.5
"2005.10",74.859,2.3
"2005.11",74.561,2.5
"2005.12",74.785,2.6
"2006.01",75.231,2.2
"2006.02",75.381,2.0
"2006.03",75.827,2.0
"2006.04",75.902,2.0
"2006.05",76.050,2.3
"2006.06",75.902,2.4
"2006.07",76.199,2.4
"2006.08",76.645,2.7
"2006.09",76.868,2.5
"2006.10",76.496,2.2
"2006.11",76.125,2.1
"2006.12",76.348,2.1
"2007.01",76.496,1.7
"2007.02",77.017,2.2
"2007.03",77.464,2.2
"2007.04",77.761,2.4
"2007.05",77.836,2.3
"2007.06",77.836,2.5
"2007.07",78.134,2.5
"2007.08",78.208,2.0
"2007.09",78.655,2.3
"2007.10",78.803,3.0
"2007.11",78.803,3.5
"2007.12",79.101,3.6
"2008.01",79.472,3.9
"2008.02",79.771,3.6
"2008.03",80.515,3.9
"2008.04",80.962,4.1
"2008.05",81.630,4.9
"2008.06",82.151,5.5
"2008.07",82.747,5.9
"2008.08",82.598,5.6
"2008.09",82.673,5.1
"2008.10",82.598,4.8
"2008.11",82.375,4.5
"2008.12",82.375,4.1
"2009.01",82.450,3.7
"2009.02",83.045,4.1
"2009.03",83.640,3.9
"2009.04",83.862,3.6
"2009.05",83.862,2.7
"2009.06",83.788,2.0
"2009.07",84.086,1.6
"2009.08",84.384,2.2
"2009.09",84.459,2.2
"2009.10",84.235,2.0
"2009.11",84.384,2.4
"2009.12",84.682,2.8
"2010.01",85.351,3.5
"2010.02",85.523,3.0
"2010.03",85.696,2.5
"2010.04",86.041,2.6
"2010.05",86.128,2.7
"2010.06",86.041,2.7
"2010.07",86.214,2.5
"2010.08",86.647,2.7
"2010.09",87.337,3.4
"2010.10",87.337,3.7
"2010.11",86.906,3.0
"2010.12",87.251,3.0
"2011.01",88.288,3.4
"2011.02",88.892,3.9
"2011.03",89.238,4.1
"2011.04",89.325,3.8
"2011.05",89.497,3.9
"2011.06",89.670,4.2
"2011.07",90.102,4.5
"2011.08",90.707,4.7
"2011.09",90.620,3.8
"2011.10",90.448,3.6
"2011.11",90.534,4.2
"2011.12",90.879,4.2
"2012.01",91.242,3.3
"2012.02",91.588,3.0
"2012.03",91.614,2.7
"2012.04",91.605,2.6
"2012.05",91.769,2.5
"2012.06",91.639,2.2
"2012.07",91.432,1.5
"2012.08",91.855,1.3
"2012.09",92.512,2.1
"2012.10",92.339,2.1
"2012.11",92.011,1.6
"2012.12",92.175,1.4
