,gdp_estimated
2015-09-01,1.831890843402448
2015-10-01,0.9732625863701401
2015-11-01,0.9701305940932912
2015-12-01,0.3697365473454681
2016-01-01,0.7435703999854866
2016-02-01,1.4775480918297603
2016-03-01,1.5045889275998547
2016-04-01,0.34520034032684066
2016-05-01,2.0685966782458536
2016-06-01,1.1404796754982556
2016-07-01,0.5388295233868803
2016-08-01,1.1793260426816232
2016-09-01,0.07530331523378209
2016-10-01,0.4107348991242361
2016-11-01,1.8936295984309481
2016-12-01,1.450603432616333
2017-01-01,-0.14074805068395335
2017-02-01,1.9727472492911033
2017-03-01,0.9819131898059368
2017-04-01,0.9379313913333931
2017-05-01,0.5909685242855289
2017-06-01,0.4676951485258769
2017-07-01,1.2029376463912627
2017-08-01,1.4894232595771655
2017-09-01,3.58598172033453
