,CDS_premium_AA,CDS_premium_BBB,spread_3y,bond_spread,CD_3mon,CP_3mon,credit_int_rate,deposit_int_rate,credit_deposit_spread,overnight_rate
2009-03-01,0.024504545454545452,0.08431363636363637,0.01685,0.01288636363636364,0.024472727272727268,0.03135454545454546,0.055,0.029700000000000004,0.0253,0.01756818181818182
2009-04-01,0.01920909090909091,0.08050454545454545,0.0176,0.01140909090909091,0.024195454545454548,0.030804545454545453,0.054000000000000006,0.0288,0.0252,0.01757727272727273
2009-05-01,0.01326315789473684,0.07593157894736843,0.0183421052631579,0.01214210526315789,0.024100000000000003,0.03032631578947368,0.0542,0.028399999999999998,0.0258,0.01895263157894737
2009-06-01,0.011186363636363642,0.07303181818181818,0.020945454545454538,0.011604545454545449,0.024104545454545462,0.02882727272727273,0.0547,0.0296,0.025099999999999997,0.01929090909090909
2009-07-01,0.01365217391304348,0.07435217391304348,0.020930434782608698,0.010900000000000002,0.024100000000000003,0.02764347826086957,0.0553,0.0292,0.026099999999999998,0.019321739130434782
2009-08-01,0.01321428571428571,0.07454761904761906,0.02417619047619048,0.010261904761904762,0.02477619047619048,0.02775238095238096,0.056100000000000004,0.030699999999999998,0.025400000000000002,0.019771428571428572
2009-09-01,0.011718181818181822,0.07368181818181818,0.024036363636363637,0.009727272727272727,0.026390909090909093,0.02855909090909091,0.0582,0.0333,0.024900000000000002,0.01967727272727273
2009-10-01,0.01131904761904762,0.07331428571428572,0.02469523809523809,0.009761904761904762,0.02792857142857143,0.0297047619047619,0.0588,0.0351,0.023700000000000002,0.01995714285714286
2009-11-01,0.011109523809523809,0.07284761904761904,0.0232,0.01071428571428571,0.0279,0.02971428571428572,0.0587,0.0354,0.0233,0.02
2009-12-01,0.011090909090909089,0.07206818181818182,0.022427272727272733,0.01067272727272727,0.0282,0.03000454545454545,0.0581,0.037000000000000005,0.0211,0.01997272727272727
2010-01-01,0.01118,0.07184,0.022850000000000002,0.010685,0.0288,0.03118,0.05940000000000001,0.038700000000000005,0.0207,0.019965
2010-02-01,0.01134736842105263,0.07199473684210526,0.0219,0.011078947368421051,0.0288,0.031184210526315793,0.0584,0.036000000000000004,0.022400000000000003,0.01995263157894737
2010-03-01,0.01075454545454545,0.07137272727272728,0.0194,0.009786363636363636,0.028281818181818182,0.03064090909090909,0.056900000000000006,0.0327,0.0242,0.02007272727272727
2010-04-01,0.009213636363636365,0.06979545454545455,0.017722727272727272,0.011336363636363641,0.02512727272727273,0.027227272727272732,0.054900000000000004,0.028900000000000002,0.026000000000000002,0.02003181818181818
2010-05-01,0.007784210526315789,0.06841578947368421,0.01697894736842105,0.012531578947368421,0.0245,0.02665263157894737,0.054000000000000006,0.028900000000000002,0.025099999999999997,0.020121052631578953
2010-06-01,0.008985714285714286,0.0687,0.017538095238095238,0.01180952380952381,0.02452380952380953,0.02721428571428572,0.053200000000000004,0.03,0.0232,0.01998571428571428
2010-07-01,0.009263636363636363,0.06867727272727274,0.01701363636363636,0.01024545454545454,0.02583636363636364,0.02806363636363637,0.053899999999999997,0.031000000000000003,0.0229,0.022004545454545454
2010-08-01,0.009495454545454547,0.06893181818181819,0.014759090909090911,0.009504545454545455,0.02631363636363636,0.028486363636363643,0.055099999999999996,0.0316,0.0235,0.02276818181818182
2010-09-01,0.009357894736842107,0.06881578947368422,0.012252631578947371,0.008047368421052633,0.026600000000000002,0.028205263157894744,0.0545,0.0308,0.023700000000000002,0.022721052631578947
2010-10-01,0.008852380952380954,0.06904285714285716,0.009904761904761906,0.008647619047619048,0.026619047619047622,0.02798571428571429,0.053700000000000005,0.0301,0.0236,0.0226
2010-11-01,0.007899999999999999,0.06865,0.01025909090909091,0.01082727272727273,0.0273,0.028450000000000003,0.0534,0.0309,0.0225,0.02376818181818182
2010-12-01,0.009191304347826086,0.06961304347826087,0.0075,0.012091304347826091,0.027999999999999997,0.02969130434782609,0.054000000000000006,0.0332,0.020800000000000003,0.02503478260869565
2011-01-01,0.008085714285714286,0.06816666666666668,0.01052380952380952,0.009871428571428573,0.02925238095238095,0.031166666666666672,0.0564,0.0346,0.021800000000000003,0.02651904761904762
2011-02-01,0.0078000000000000005,0.06798823529411765,0.011923529411764711,0.00821764705882353,0.03128235294117647,0.03309411764705882,0.056600000000000004,0.0362,0.0204,0.02754705882352941
2011-03-01,0.007981818181818184,0.0684,0.008072727272727271,0.0077227272727272735,0.03354545454545454,0.03527727272727273,0.057800000000000004,0.0367,0.0211,0.02925454545454545
2011-04-01,0.00791904761904762,0.06838095238095238,0.0074476190476190475,0.007371428571428572,0.03401904761904762,0.03541904761904762,0.057,0.0368,0.0202,0.030152380952380948
2011-05-01,0.007895000000000001,0.068205,0.00655,0.006835,0.034585,0.035815,0.0576,0.0367,0.0209,0.030270000000000002
2011-06-01,0.0074523809523809525,0.06786666666666667,0.004747619047619047,0.005895238095238096,0.03532857142857143,0.03686666666666667,0.057999999999999996,0.037000000000000005,0.021,0.03196190476190476
2011-07-01,0.0070714285714285705,0.06701904761904763,0.005204761904761905,0.004590476190476191,0.035871428571428575,0.03737142857142858,0.058600000000000006,0.0379,0.0207,0.03265238095238095
2011-08-01,0.007209090909090908,0.06696818181818183,0.003218181818181818,0.003890909090909091,0.03589999999999999,0.03730454545454546,0.0584,0.037700000000000004,0.0207,0.03252272727272727
2011-09-01,0.007930000000000001,0.06734,0.00196,0.00308,0.03581,0.03709000000000001,0.0576,0.0371,0.020499999999999997,0.03255
2011-10-01,0.00824,0.06753,0.00219,0.00386,0.035750000000000004,0.0371,0.057699999999999994,0.0371,0.0206,0.03243
2011-11-01,0.008486363636363636,0.06692272727272726,0.001440909090909091,0.004086363636363636,0.03560909090909091,0.03707727272727273,0.058300000000000005,0.0369,0.021400000000000002,0.03259090909090909
2011-12-01,0.008818181818181817,0.06680909090909092,0.001113636363636364,0.0045000000000000005,0.0355,0.037040909090909103,0.056900000000000006,0.037700000000000004,0.0192,0.03265
2012-01-01,0.0087,0.06665499999999999,0.00121,0.004245,0.035525,0.03691,0.0579,0.0375,0.0204,0.03258
2012-02-01,0.00818095238095238,0.06585714285714286,0.001842857142857143,0.0038,0.03525238095238096,0.036623809523809524,0.0571,0.0373,0.0198,0.032561904761904764
2012-03-01,0.008028571428571428,0.0653,0.0030571428571428572,0.003966666666666667,0.03542380952380952,0.03659523809523809,0.05740000000000001,0.037200000000000004,0.0202,0.03247619047619048
2012-04-01,0.00751,0.06462000000000001,0.0025,0.003975,0.035425,0.03634,0.0571,0.037000000000000005,0.0201,0.032485
2012-05-01,0.006271428571428571,0.06254761904761905,0.0012809523809523809,0.0037095238095238097,0.0354,0.03600000000000001,0.056600000000000004,0.0364,0.0202,0.032595238095238094
2012-06-01,0.005795000000000001,0.061945,0.00039,0.0034150000000000005,0.0354,0.035665,0.0558,0.0363,0.0195,0.032585
2012-07-01,0.005836363636363636,0.06170909090909091,-0.0007909090909090909,0.002831818181818182,0.03335,0.03385,0.0545,0.034300000000000004,0.0202,0.030959090909090912
2012-08-01,0.00565909090909091,0.05962727272727273,-0.0016818181818181821,0.002563636363636363,0.03194545454545455,0.03206363636363637,0.052199999999999996,0.0319,0.0203,0.02996363636363637
2012-09-01,0.0050149999999999995,0.058740000000000014,-0.00188,0.00234,0.031365,0.032,0.0513,0.0318,0.0195,0.029965000000000002
2012-10-01,0.005147619047619048,0.05897142857142858,-0.0004095238095238095,0.001942857142857143,0.02927142857142857,0.03044761904761905,0.049800000000000004,0.0308,0.019,0.0282
2012-11-01,0.005254545454545455,0.05909090909090909,0.0004909090909090909,0.001922727272727273,0.0285,0.0298,0.049400000000000006,0.0302,0.0192,0.02755454545454545
2012-12-01,0.0045210526315789465,0.059394736842105264,0.001,0.002847368421052632,0.028794736842105262,0.02985263157894737,0.0484,0.031000000000000003,0.0174,0.02753684210526316
2013-01-01,0.0045000000000000005,0.05978181818181818,-5e-05,0.0030590909090909093,0.02855454545454545,0.02954090909090909,0.05,0.03,0.02,0.02756363636363636
2013-02-01,0.00351578947368421,0.05951578947368421,-0.0004526315789473684,0.0033894736842105273,0.02832631578947368,0.02906315789473684,0.049100000000000005,0.0294,0.0197,0.02747894736842105
2013-03-01,0.00345,0.059539999999999996,-0.0015,0.003095,0.028130000000000002,0.02881,0.0477,0.028700000000000003,0.019,0.027440000000000003
2013-04-01,0.003572727272727272,0.05975909090909091,-0.001995454545454546,0.002872727272727273,0.02795454545454545,0.02871363636363637,0.04730000000000001,0.0275,0.0198,0.02747272727272728
2013-05-01,0.003652380952380953,0.059923809523809525,0.00034761904761904756,0.0030333333333333328,0.027185714285714282,0.02788095238095238,0.046200000000000005,0.0267,0.0195,0.025647619047619048
2013-06-01,0.0037,0.06002105263157895,0.003694736842105263,0.004436842105263158,0.02690526315789473,0.02752105263157895,0.0452,0.026600000000000002,0.018600000000000002,0.02493157894736842
2013-07-01,0.004630434782608696,0.06103478260869565,0.004126086956521739,0.005534782608695652,0.02679565217391304,0.02735217391304348,0.046,0.026400000000000003,0.0196,0.02468260869565218
2013-08-01,0.003919047619047619,0.06086190476190477,0.004376190476190476,0.006733333333333333,0.026600000000000002,0.02720952380952381,0.0455,0.0263,0.0192,0.02498571428571429
2013-09-01,0.0039611111111111106,0.060944444444444454,0.003966666666666667,0.0063388888888888896,0.026600000000000002,0.0273,0.0454,0.026400000000000003,0.019,0.02501111111111111
2013-10-01,0.004163333333333333,0.06123095238095239,0.0033404761904761897,0.006035714285714287,0.02658571428571429,0.02738095238095238,0.0446,0.0263,0.0183,0.02499047619047619
2013-11-01,0.004294285714285714,0.06129619047619048,0.0043614285714285725,0.006478571428571429,0.0265,0.027790476190476192,0.045,0.0262,0.0188,0.02496666666666667
2013-12-01,0.004192857142857143,0.06117095238095239,0.004405714285714286,0.007119523809523809,0.02650952380952381,0.028171428571428573,0.0452,0.0267,0.018500000000000003,0.02499047619047619
2014-01-01,0.0042735,0.061275500000000004,0.003919000000000001,0.007546000000000001,0.026525,0.028345,0.0453,0.0265,0.0188,0.024980000000000002
2014-02-01,0.004256,0.061198499999999996,0.0035425,0.006681,0.0265,0.027805,0.044500000000000005,0.0263,0.0182,0.024864999999999998
2014-03-01,0.004295238095238095,0.06120238095238095,0.003735238095238095,0.00669952380952381,0.0265,0.0277047619047619,0.0446,0.026000000000000002,0.018600000000000002,0.024785714285714293
2014-04-01,0.004279545454545454,0.061223636363636355,0.003753181818181818,0.006647272727272727,0.0265,0.027595454545454538,0.0442,0.026000000000000002,0.0182,0.024877272727272727
2014-05-01,0.004251052631578947,0.061187894736842115,0.0033842105263157903,0.005637368421052632,0.0265,0.02756315789473684,0.044000000000000004,0.0259,0.0181,0.024900000000000002
2014-06-01,0.004225263157894737,0.06117578947368422,0.002457368421052632,0.005398421052631579,0.0265,0.027400000000000004,0.044000000000000004,0.0257,0.0183,0.02482105263157895
2014-07-01,0.004125652173913043,0.061097391304347826,0.0005782608695652174,0.004981304347826087,0.0265,0.027260869565217394,0.043899999999999995,0.024900000000000002,0.019,0.02486086956521739
2014-08-01,0.0038675,0.061106999999999995,0.001772,0.005465500000000001,0.025165000000000003,0.02588,0.0418,0.0236,0.0182,0.02348
