index,bank_int_spread,m1_rate,m2_rate,lf_rate,liquidity,nonbank_deposit,deposit,nonbank_loan_rate,krw_deposit,sup_CD,finan_bonds,comp_loan,simple_loan,mortgage_loan,money_mort_loan
2005-08-01,0.0201,0.14400000000000002,0.077,0.076,0.086,0.11005946058769062,0.010152293022158755,0.0605,0.010152293022158755,0.4320060759942488,0.015183682697993738,0.0553,0.057,0.0526,0.054900000000000004
2005-09-01,0.0181,0.128,0.065,0.069,0.079,0.08328092495522671,0.01591972616041924,0.060300000000000006,0.01591972616041924,0.3941958655425542,0.03918606616721456,0.0567,0.0608,0.0536,0.0542
2005-10-01,0.0187,0.09699999999999999,0.065,0.069,0.083,0.07428229016965135,0.02760557508911919,0.0631,0.02760557508911919,0.37453344136681566,0.04418598588009704,0.0575,0.065,0.056100000000000004,0.0547
2005-11-01,0.0175,-0.011000000000000001,0.066,0.07200000000000001,0.091,0.06609306859992851,0.037029623952439854,0.0576,0.037029623952439854,0.3636022706660466,0.08117804264797283,0.0575,0.0629,0.0559,0.0545
2005-12-01,0.016,-0.005,0.07,0.073,0.09,0.07283593920871279,0.03849199713593314,0.05940000000000001,0.03849199713593314,0.3701446387667555,0.11780086462310617,0.057999999999999996,0.0625,0.055999999999999994,0.0541
2006-01-01,0.0165,0.017,0.073,0.07200000000000001,0.087,0.07379463276163743,0.01414707536353602,0.0562,0.01414707536353602,0.377257248248617,0.13630342264107875,0.058499999999999996,0.0625,0.0564,0.0547
2006-02-01,0.015500000000000002,-0.006999999999999999,0.07200000000000001,0.07400000000000001,0.081,0.07661832381477397,0.014853413602971058,0.058600000000000006,0.014853413602971058,0.3572405071391106,0.16886153944350438,0.05940000000000001,0.0617,0.0558,0.054900000000000004
2006-03-01,0.0163,-0.027000000000000003,0.066,0.07,0.085,0.09529665785307376,0.019982723591055584,0.056100000000000004,0.019982723591055584,0.3802903158853803,0.23355079525237668,0.0599,0.06269999999999999,0.0546,0.05480000000000001
2006-04-01,0.0146,-0.03,0.068,0.07400000000000001,0.079,0.09243761228570593,0.012866970253720992,0.0559,0.012866970253720992,0.31810666450151176,0.25123422712634236,0.0592,0.06280000000000001,0.0542,0.0552
2006-05-01,0.0154,-0.023,0.071,0.076,0.08800000000000001,0.1011929051232247,0.019799917616573286,0.056600000000000004,0.019799917616573286,0.3277678592288972,0.26286357150359946,0.0599,0.06280000000000001,0.0541,0.0559
2006-06-01,0.015,-0.03,0.077,0.073,0.092,0.10113117404818261,0.031334414035257024,0.061399999999999996,0.031334414035257024,0.19252920433144077,0.29789205924368284,0.0609,0.0652,0.05480000000000001,0.0563
2006-07-01,0.016399999999999998,-0.047,0.077,0.073,0.085,0.094892302648453,0.03100688867274823,0.057999999999999996,0.03100688867274823,0.09775054226058087,0.34341334755272845,0.0616,0.0639,0.0579,0.056600000000000004
2006-08-01,0.016399999999999998,-0.061,0.075,0.07400000000000001,0.09300000000000001,0.10133097267229899,0.03247546193561204,0.056100000000000004,0.03247546193561204,0.08524520714685453,0.37562728906262005,0.062000000000000006,0.0592,0.058600000000000006,0.057300000000000004
2006-09-01,0.015600000000000001,-0.055999999999999994,0.08900000000000001,0.079,0.102,0.1328701268140403,0.0333539667651073,0.054900000000000004,0.0333539667651073,0.08655771642917591,0.3540094298015136,0.0621,0.060300000000000006,0.057699999999999994,0.0564
2006-10-01,0.016200000000000003,-0.019,0.10099999999999999,0.087,0.102,0.1447244132960694,0.034031309796228384,0.060700000000000004,0.034031309796228384,0.053783370682827986,0.34424371674414717,0.0618,0.0638,0.056900000000000006,0.0575
2006-11-01,0.015700000000000002,0.1,0.111,0.094,0.102,0.14181279081891587,0.0359570774981314,0.0592,0.0359570774981314,0.0832639537562623,0.30081749426203197,0.0616,0.0639,0.056900000000000006,0.0581
2006-12-01,0.0159,0.10400000000000001,0.114,0.096,0.107,0.13788179451443744,0.053317907621159025,0.0599,0.053317907621159025,0.2146337550664505,0.276903882332881,0.063,0.0632,0.0588,0.0592
2007-01-01,0.0163,0.079,0.113,0.098,0.105,0.14152474679995983,0.04154335711065205,0.0599,0.04154335711065205,0.3564739725191848,0.29211150987960594,0.0639,0.0636,0.0611,0.0587
2007-02-01,0.015500000000000002,0.07400000000000001,0.115,0.099,0.106,0.13235298818151373,0.03738121963272272,0.0613,0.03738121963272272,0.31877722878656967,0.2773111427650172,0.0643,0.06280000000000001,0.0618,0.0587
2007-03-01,0.0158,0.03,0.115,0.102,0.114,0.13003888695711435,0.049997465664922164,0.0596,0.049997465664922164,0.28272747147422433,0.27183131628056056,0.0641,0.0631,0.062000000000000006,0.059000000000000004
2007-04-01,0.0151,-0.057,0.111,0.10099999999999999,0.109,0.12090006636005293,0.049400044509480975,0.0611,0.049400044509480975,0.28410981449341477,0.25707915083656974,0.0637,0.0646,0.0613,0.059800000000000006
2007-05-01,0.016200000000000003,-0.07,0.109,0.10099999999999999,0.11199999999999999,0.1227889990404583,0.04248166312413849,0.0639,0.04248166312413849,0.3124200074088713,0.24715942728913293,0.0651,0.0661,0.0617,0.059800000000000006
