,export,import,exp_price_index,imp_price_idx,dollar,bis_rate,finance_balance,capital_balance,current_balance
2006-06-01,0.17889762327451764,0.22241329477936,-0.007538910505836438,0.037971698113207664,0.0034898477157359054,0.005247376311844132,0.25950042099354476,-1.3333333333333333,1.2844773628207804
2006-07-01,0.1092649435635662,0.1878713127226297,0.0004876859302609393,0.02527283170591632,0.006639266519127496,-0.011765680669483802,-0.45060491947760595,-0.11764705882352955,-2.122829581993569
2006-08-01,0.1689685805579042,0.22856562489375398,0.004856333468231444,0.03413746017296293,0.006595477386934556,-0.003940638886560044,-0.9578639026588553,-1.3541666666666667,-2.582434514637905
2006-09-01,0.20930772144970056,0.21647349136879002,0.003960556094406709,-0.016371383718322585,-0.015912636505460043,0.020959595959596067,5.099370188943317,0.8043478260869565,3.262213635109026
2006-10-01,0.10504624587441169,0.13106704333935837,0.0018777043023920914,-0.023116824537663616,-0.004121750158529003,-0.00032978811113859585,0.001719176290316593,-0.893491124260355,-0.10829546585293048
2006-11-01,0.18493322592815842,0.12224812440921329,0.01775147928994092,-0.01660899653979231,-0.013583784357423356,-0.0005773195876289661,0.4347374417747394,5.142857142857143,1.3875046884209397
2006-12-01,0.12264754337946004,0.13777244761086416,0.022683518875031394,-0.005826147751107014,0.00032275416890792386,0.0021455685756726073,-0.6776678181308935,-1.3242630385487528,-0.8123412183142324
2007-01-01,0.2078735426543432,0.193630652530713,-0.005706252067482542,-0.013879087273582558,0.012045601204560219,-0.00452898550724623,-0.509835300393412,5.511627906976745,-3.734355044699872
2007-02-01,0.1025002526594827,0.08075505215720069,-0.00821099776063694,0.01570306923625986,0.0008501594048884176,-0.01083629746050141,-1.6028703331995184,-1.0112570356472796,-0.7753536100582417
2007-03-01,0.13210416709745787,0.12913671597776033,-0.0007504377553572139,0.04454976303317526,-0.000955616903801082,-0.0038467971232647447,0.5629579038867505,-2.897435897435898,-0.2859516337456155
2007-04-01,0.17015678275559676,0.2087355865558107,0.005615657775208449,0.041569360112097,-0.010734403230949208,0.00570852921423759,0.32572341761315005,-5.797101449275362,-0.3465542885473476
2007-05-01,0.11116695204250426,0.1391270537771201,0.0,0.02786058243522138,-0.003330468414267207,0.004674457429048484,-0.8808965719308526,-1.5333333333333332,51.404109589041106
2007-06-01,0.14495446227486308,0.09547668212041249,0.0007351139426610143,0.015564644399000294,-0.004203945240918605,0.003821867730142925,0.29285141278188775,0.33333333333333326,-0.27782090506415824
2007-07-01,0.1719963452036617,0.14377796386378483,0.00682427492078963,0.0013445378151260012,-0.004871184239012782,-0.0068697235557027,6.73676534927811,-3.533333333333333,-4.678837342497136
2007-08-01,0.1359956199235577,0.09665708835259434,-0.006443817962142551,-0.007262323943661886,0.02066789948874148,-0.021668472372697756,28.358288770053477,0.05882352941176472,-2.4432976306394028
2007-09-01,-0.011052216454842556,-0.01603168604697447,-0.003944931970050636,0.052211582307341686,-0.02472556751571986,0.00928528835505582,-0.14659821018815966,0.7228915662650603,0.39638647843543606
2007-10-01,0.22907850486217507,0.2778680872923571,0.0158898305084747,0.07537804455731267,-0.01573598513823604,0.005654962862930324,0.7793157482371376,-2.2777777777777777,-0.2879407826216337
2007-11-01,0.1701041355926265,0.2675500927233079,0.03889616770389792,0.13699272812573304,0.02264905073831458,-0.03348720100713387,-0.8256878591115056,0.16279069767441867,-0.26832443107859427
2007-12-01,0.14786572953694477,0.23176379234771005,0.029055491897201025,0.15553211439287407,0.01628487677776569,-0.017888155609586676,1.3988414192614047,-1.993006993006993,1.4741275571600485
2008-01-01,0.14886553062926522,0.31777564966108063,0.05115195874573719,0.21171278625954204,0.008332443115051769,-0.02431476569407609,-3.5591076044075636,-0.9839285714285714,-4.216721158337226
