,const_flow,const_order,const_growth,civil_engine,estimated_construction
2002-11-30,0.065,0.16399999999999998,0.085,0.034,0.04132048746393713
2002-12-31,0.11,0.187,0.10400000000000001,0.11900000000000001,0.035707078611566856
2003-01-31,0.064,0.152,0.092,0.017,0.024110014152935344
2003-02-28,0.052000000000000005,0.41500000000000004,0.08800000000000001,-0.011000000000000001,0.023746777475852854
2003-03-31,0.105,-0.309,0.168,-0.002,0.03744175790241733
2003-04-30,0.05,0.035,0.067,0.017,0.020858812327346765
2003-05-31,0.087,0.24800000000000003,0.11699999999999999,0.032,0.02915841197696256
2003-06-30,0.139,1.119,0.13699999999999998,0.141,0.032476445783347185
2003-07-31,0.083,0.636,0.094,0.063,0.024676076190909835
2003-08-31,0.127,0.374,0.111,0.16,0.03144301354396961
2003-09-30,0.063,0.35100000000000003,0.064,0.063,0.026974440795674237
2003-10-31,0.095,0.16,0.096,0.09300000000000001,0.037034293164135645
2003-11-30,0.048,-0.198,0.081,-0.006999999999999999,0.02452486510871399
2003-12-31,0.136,0.057,0.152,0.115,0.027455495154846687
2004-01-31,0.076,0.013999999999999999,0.128,-0.016,0.011126345641243596
2004-02-29,0.057,-0.19399999999999998,0.10400000000000001,-0.03,0.011076028305570862
2004-03-31,0.114,0.021,0.115,0.11199999999999999,0.018033051046720372
2004-04-30,0.10300000000000001,-0.065,0.121,0.069,0.024535866772977366
2004-05-31,0.036000000000000004,-0.174,0.057999999999999996,-0.006,0.009206948370585666
2004-06-30,0.002,-0.342,0.039,-0.063,0.0018363725408852005
2004-07-31,0.036000000000000004,0.038,0.087,-0.061,0.0065829152446427175
2004-08-31,0.046,-0.36,0.078,-0.016,0.0002478173851694354
2004-09-30,0.107,-0.244,0.10400000000000001,0.113,-0.00012407395662339393
2004-10-31,0.004,0.34299999999999997,0.040999999999999995,-0.063,-0.016369912742752013
2004-11-30,-0.023,0.049,-0.015,-0.039,-0.016250767870675586
2004-12-31,-0.076,0.399,-0.009000000000000001,-0.167,-0.005388395502315291
2005-01-31,-0.042,0.063,-0.054000000000000006,-0.018000000000000002,-0.0032398404307228956
2005-02-28,-0.095,-0.253,-0.142,0.004,-0.019918106862933938
2005-03-31,-0.006,0.693,-0.006,-0.008,0.0015832938933428853
2005-04-30,0.028999999999999998,0.23500000000000001,0.031000000000000003,0.024,0.006378983405888938
2005-05-31,0.067,0.502,0.068,0.065,0.010808262408608327
2005-06-30,0.067,0.354,0.069,0.063,0.008998044041364506
2005-07-31,0.006999999999999999,0.043,-0.003,0.027999999999999997,-0.00527229881209379
2005-08-31,0.01,0.162,0.004,0.022000000000000002,-0.004645783376963752
2005-09-30,-0.006999999999999999,0.237,0.031000000000000003,-0.075,-0.0006958873011285727
2005-10-31,0.006999999999999999,-0.365,0.013999999999999999,-0.006,-0.004153545517244006
2005-11-30,0.091,0.008,0.094,0.085,0.014298570384847165
2005-12-31,0.034,-0.18600000000000003,-0.013000000000000001,0.11,0.0019010537612587086
2006-01-31,-0.031000000000000003,0.109,-0.026000000000000002,-0.042,0.0050387073344031474
2006-02-28,0.057,0.29,0.07200000000000001,0.03,0.012322269098945515
2006-03-31,0.018000000000000002,-0.341,0.013999999999999999,0.025,-0.00686133810846512
2006-04-30,-0.023,-0.177,-0.023,-0.024,-0.02242425358332345
2006-05-31,-0.040999999999999995,-0.217,-0.063,0.006,-0.02045572133549145
2006-06-30,-0.039,-0.068,-0.052000000000000005,-0.013000000000000001,-0.01041538946106213
2006-07-31,-0.06,0.068,-0.059000000000000004,-0.062000000000000006,-0.0036092045447388976
2006-08-31,-0.023,0.15,-0.013999999999999999,-0.040999999999999995,0.008692835660729203
2006-09-30,0.096,0.985,0.057999999999999996,0.17,0.02572844257037432
2006-10-31,0.021,-0.002,-0.013000000000000001,0.08900000000000001,0.019148677918755852
2006-11-30,0.012,0.449,0.022000000000000002,-0.006,0.017034986829025378
