,facil_inv,comp_yield,manuf_inv,prod_idx,manuf_ship_idx,inven_idx,util_idx,machine_order,service_idx,retail_idx,estimated_facility
2007-04-30,0.133,0.0637,0.7042400000000001,0.751,0.7541500000000001,0.5648299999999999,1.1297300000000001,-0.08900000000000001,0.7540000000000001,0.848,0.05857815453685067
2007-05-31,0.055,0.0651,0.7066100000000001,0.755,0.7607200000000001,0.56602,1.1284,0.022000000000000002,0.76,0.861,0.019212942700171265
2007-06-30,0.095,0.0647,0.70217,0.752,0.75815,0.5748800000000001,1.10728,-0.079,0.767,0.8490000000000001,0.020446043733064467
2007-07-31,0.065,0.0646,0.71146,0.767,0.77999,0.57404,1.09225,0.387,0.773,0.851,-0.003286885749721691
2007-08-31,0.03,0.0659,0.73398,0.782,0.7759900000000001,0.57846,1.1244,-0.037000000000000005,0.783,0.8540000000000001,0.009228759637318618
2007-09-30,-0.094,0.0674,0.72477,0.767,0.77333,0.57516,1.10287,0.353,0.772,0.88,-0.008701892191771421
2007-10-31,0.063,0.06820000000000001,0.76378,0.789,0.80378,0.58269,1.1714499999999999,0.618,0.784,0.882,0.07022652188454792
2007-11-30,0.061,0.06820000000000001,0.76524,0.789,0.8131,0.57976,1.16732,0.784,0.7859999999999999,0.883,0.05998418816373707
2007-12-31,0.076,0.0716,0.76306,0.7909999999999999,0.81444,0.59128,1.14559,0.353,0.7859999999999999,0.881,0.05552708276510554
2008-01-31,-0.003,0.0726,0.7837000000000001,0.8,0.8229500000000001,0.6018,1.16812,0.6920000000000001,0.8009999999999999,0.8840000000000001,0.016464630324596108
2008-02-29,-0.027999999999999997,0.0693,0.7723000000000001,0.797,0.8097300000000001,0.61362,1.14291,0.09,0.799,0.868,0.0024469933131809896
2008-03-31,-0.006,0.0692,0.78636,0.793,0.82562,0.6169100000000001,1.1597199999999999,0.19399999999999998,0.799,0.883,0.005673768705901416
2008-04-30,-0.01,0.06910000000000001,0.78675,0.8,0.8242900000000001,0.62885,1.16513,0.048,0.8,0.8890000000000001,-0.000594038170617317
2008-05-31,-0.006,0.0696,0.7732,0.7959999999999999,0.8123900000000001,0.63793,1.1222400000000001,-0.019,0.799,0.883,0.005492517416529452
2008-06-30,0.018000000000000002,0.0704,0.7663200000000001,0.78,0.80778,0.66878,1.11154,0.034,0.792,0.866,0.019002548953808596
2008-07-31,0.094,0.0712,0.76197,0.793,0.81568,0.6579300000000001,1.09312,0.276,0.802,0.895,0.0521101501073189
2008-08-31,0.003,0.073,0.76244,0.795,0.80183,0.6614,1.09181,-0.102,0.8029999999999999,0.89,-0.00513574813605544
2008-09-30,0.071,0.07440000000000001,0.7471899999999999,0.7859999999999999,0.7997799999999999,0.67264,1.07479,-0.556,0.7959999999999999,0.873,-0.0035565693739934012
2008-10-31,-0.023,0.078,0.75208,0.783,0.78593,0.6814600000000001,1.1162699999999999,-0.546,0.792,0.8570000000000001,-0.06227510273398895
2008-11-30,-0.16899999999999998,0.0751,0.6696500000000001,0.751,0.71509,0.67053,0.9889100000000001,-0.598,0.784,0.8320000000000001,-0.08581059999150709
2008-12-31,-0.17800000000000002,0.0687,0.5933400000000001,0.7190000000000001,0.6614700000000001,0.63109,0.8844799999999999,-0.45799999999999996,0.7709999999999999,0.8300000000000001,-0.061304604930977113
2009-01-31,-0.289,0.05940000000000001,0.60577,0.74,0.65481,0.60032,0.88538,-0.522,0.793,0.84,-0.07641800299076174
2009-02-28,-0.17800000000000002,0.0556,0.66322,0.76,0.70249,0.58555,0.9603400000000001,-0.305,0.795,0.848,-0.040456814121730744
2009-03-31,-0.198,0.05480000000000001,0.68946,0.7590000000000001,0.7237,0.57961,0.9937300000000001,-0.244,0.784,0.836,-0.05141255293079228
2009-04-30,-0.217,0.0543,0.7117700000000001,0.7859999999999999,0.75087,0.56696,1.0294400000000001,-0.317,0.804,0.8470000000000001,-0.06191786885212558
2009-05-31,-0.162,0.0543,0.71721,0.778,0.75682,0.55411,1.03109,-0.27899999999999997,0.802,0.8540000000000001,-0.04277699471647178
2009-06-30,-0.076,0.0553,0.7459399999999999,0.798,0.79384,0.55538,1.0628900000000001,0.001,0.807,0.875,-0.01141048402736411
