,gdp_estimated
2015-06-01,0.6263768741549711
2015-07-01,0.4961038120908299
2015-08-01,0.5338222416938692
2015-09-01,0.5101588610824166
2015-10-01,0.14155102412708942
2015-11-01,0.1024045823382096
2015-12-01,-0.08360220091637416
2016-01-01,-0.028566894091056838
2016-02-01,0.29867926804527656
2016-03-01,0.4531419656771405
2016-04-01,0.31696121900892393
2016-05-01,0.6039437874487277
2016-06-01,0.23626556867623094
2016-07-01,-0.052701373755539294
2016-08-01,0.16402976977074246
2016-09-01,-0.04643034307606797
2016-10-01,0.09645997466974876
2016-11-01,0.5016830890025545
2016-12-01,0.43608481436700686
2017-01-01,0.08914215887035937
2017-02-01,0.5532175240635695
2017-03-01,0.25228575752521465
2017-04-01,0.1829862391056878
2017-05-01,0.23007939439824554
2017-06-01,0.33309345477246666
